,state,date,R,CI_lower,CI_upper
492,Tamil Nadu,6/11/20,0.360942011,0,0.721884023
493,Tamil Nadu,6/12/20,0.250049109,0.028618242,0.471479975
494,Tamil Nadu,6/13/20,0.424389669,0.250502009,0.598277329
495,Tamil Nadu,6/14/20,1.034856256,0.93797422,1.131738291
496,Tamil Nadu,6/15/20,1.928567695,1.347470511,2.509664879
497,Tamil Nadu,6/16/20,0,0,0
498,Tamil Nadu,6/17/20,0.407577846,0.032821274,0.782334418
499,Tamil Nadu,6/18/20,1.348994188,1.258313692,1.439674685
500,Punjab,3/9/20,,,
501,Punjab,3/19/20,,,
502,Punjab,3/20/20,,,
503,Punjab,3/21/20,,,
504,Punjab,3/22/20,,,
505,Punjab,3/23/20,1.928148995,1.421265469,2.435032522
506,Punjab,3/24/20,1.987040513,1.397064139,2.577016887
507,Punjab,3/25/20,0,0,0
508,Punjab,3/26/20,0,0,0
509,Punjab,3/27/20,1.366984588,0.900981843,1.832987332
510,Punjab,3/30/20,0.852070598,0.279991185,1.424150011
511,Punjab,4/1/20,1.523500355,1.395248755,1.651751955
512,Punjab,4/2/20,0.68040692,0.335903663,1.024910177
513,Punjab,4/3/20,0.712094621,0.44360505,0.980584192
514,Punjab,4/4/20,2.034397373,1.105772947,2.9630218
515,Punjab,4/5/20,1.282656905,0.671231617,1.894082193
516,Punjab,4/6/20,2.848589128,2.056189299,3.640988958
517,Punjab,4/7/20,2.203972804,1.72041401,2.687531599
518,Punjab,4/8/20,1.699307423,1.616807873,1.781806972
519,Punjab,4/9/20,3.258914088,2.349701535,4.168126641
520,Punjab,4/10/20,1.737787943,1.309897723,2.165678163
521,Punjab,4/11/20,0.49948402,0,0.99896804
522,Punjab,4/12/20,0.92292466,0.401360631,1.44448869
523,Punjab,4/13/20,0,0,0
524,Punjab,4/14/20,0,0,0
525,Punjab,4/15/20,0,0,0
526,Punjab,4/16/20,0.363682479,0,0.727364957
527,Punjab,4/17/20,2.006524726,1.154644867,2.858404584
528,Punjab,4/18/20,3.029007749,2.353819852,3.704195645
529,Punjab,4/19/20,3.160558941,2.457583581,3.863534301
530,Punjab,4/20/20,0,0,0
531,Punjab,4/21/20,0,0,0
532,Punjab,4/22/20,0.81376906,0.574382061,1.053156059
533,Punjab,4/23/20,1.772449696,0.937987629,2.606911762
534,Punjab,4/24/20,3.616889423,3.137753257,4.096025589
535,Punjab,4/25/20,1.216932291,0.755771302,1.678093281
536,Punjab,4/26/20,0.689794054,0.347757876,1.031830232
537,Punjab,4/27/20,,,
538,Punjab,4/28/20,,,
539,Punjab,4/29/20,,,
540,Punjab,4/30/20,,,
541,Punjab,5/1/20,5.186150387,4.61861154,5.753689234
